Player,Points,Rank,,Rank,Player,Points,Teams Left
Cole,166,12.000,,1,John R.,226,2
Joey D.,192,7.001,,2,Brian S.,225,1
Brian S.,225,2.002,,3,Matt Paul,221,1
Chris R.,174,11.003,,4,Mike D.,218,2
Matt Paul,221,3.004,,5,Shawn N.,216,1
Shawn N.,216,5.005,,6,Erin H.,202,2
Mike D.,218,4.006,,7,Andrew S.,192,1
Erin H.,202,6.007,,7,Easton R.,192,1
Andrew S.,192,7.008,,7,Joey D.,192,2
Newman,180,10.009,,10,Newman,180,1
John R.,226,1.010,,11,Chris R.,174,1
Easton R.,192,7.011,,12,Cole,166,1
Stein,129,13.012,,13,Stein,129,1
